"Model","term","HR","CI_95","P_value"
"Model 1: Race only","race_cleanBlack",1.635,"(1.605-1.666)","<0.001"
"Model 1: Income only","income_categoryMedium Income ($60K-$90K)",1.108,"(1.094-1.122)","<0.001"
"Model 1: Income only","income_categoryLow Income (<$60K)",1.361,"(1.327-1.395)","<0.001"
"Model 2: Race + Age","race_cleanBlack",1.727,"(1.694-1.76)","<0.001"
"Model 2: Race + Age","age_group45-59",0.837,"(0.82-0.854)","<0.001"
"Model 2: Race + Age","age_group60-74",0.952,"(0.933-0.972)","<0.001"
"Model 2: Race + Age","age_group75+",1.689,"(1.653-1.725)","<0.001"
"Model 2: Income + Age","income_categoryMedium Income ($60K-$90K)",1.102,"(1.088-1.116)","<0.001"
"Model 2: Income + Age","income_categoryLow Income (<$60K)",1.339,"(1.306-1.374)","<0.001"
"Model 2: Income + Age","age_group45-59",0.816,"(0.799-0.832)","<0.001"
"Model 2: Income + Age","age_group60-74",0.907,"(0.889-0.926)","<0.001"
"Model 2: Income + Age","age_group75+",1.587,"(1.553-1.621)","<0.001"
"Model 3: Fully adjusted","race_cleanBlack",1.778,"(1.744-1.812)","<0.001"
"Model 3: Fully adjusted","income_categoryMedium Income ($60K-$90K)",1.099,"(1.085-1.113)","<0.001"
"Model 3: Fully adjusted","income_categoryLow Income (<$60K)",1.354,"(1.32-1.389)","<0.001"
"Model 3: Fully adjusted","age_group45-59",0.853,"(0.835-0.87)","<0.001"
"Model 3: Fully adjusted","age_group60-74",0.971,"(0.952-0.991)","0.005"
"Model 3: Fully adjusted","age_group75+",1.703,"(1.667-1.74)","<0.001"
"Model 3: Fully adjusted","year_group2000-2009",0.811,"(0.799-0.823)","<0.001"
"Model 3: Fully adjusted","year_group2010-2023",0.722,"(0.71-0.733)","<0.001"
